"Step","independent_gating/Pr=0.8/beta=10.0 - Extrinsic return","independent_gating/Pr=0.8/beta=10.0 - Extrinsic return__MIN","independent_gating/Pr=0.8/beta=10.0 - Extrinsic return__MAX"
"357","-368.9336556372822","-368.9336556372822","-368.9336556372822"
"573","-330.71080097390086","-330.71080097390086","-330.71080097390086"
"833","-260.5424146655509","-260.5424146655509","-260.5424146655509"
"969","-317.7891721625332","-317.7891721625332","-317.7891721625332"
"1078","-303.7822864540247","-303.7822864540247","-303.7822864540247"
"1134","-253.90233735550012","-253.90233735550012","-253.90233735550012"
"1271","-309.5547678173706","-309.5547678173706","-309.5547678173706"
"1332","-312.09386758387257","-312.09386758387257","-312.09386758387257"
"1398","-282.31501368758205","-282.31501368758205","-282.31501368758205"
"1456","-319.1558436059227","-319.1558436059227","-319.1558436059227"
"1594","-316.4868587327912","-316.4868587327912","-316.4868587327912"
"1711","-303.44226089042104","-303.44226089042104","-303.44226089042104"
"1774","-304.0956371564811","-304.0956371564811","-304.0956371564811"
"1833","-313.6105574830789","-313.6105574830789","-313.6105574830789"
"2005","-315.9695512478347","-315.9695512478347","-315.9695512478347"
"2095","-328.17657966400947","-328.17657966400947","-328.17657966400947"
"2199","-331.13766679991045","-331.13766679991045","-331.13766679991045"
"2259","-324.59593016413424","-324.59593016413424","-324.59593016413424"
"2370","-317.6008372407066","-317.6008372407066","-317.6008372407066"
"2434","-337.8055635651051","-337.8055635651051","-337.8055635651051"
"2508","-328.2458375224916","-328.2458375224916","-328.2458375224916"
"2656","-328.96612473726236","-328.96612473726236","-328.96612473726236"
"2829","-316.1252406674339","-316.1252406674339","-316.1252406674339"
"2919","-337.88481036292126","-337.88481036292126","-337.88481036292126"
"3087","-316.4771498181109","-316.4771498181109","-316.4771498181109"
"3196","-324.7582949738355","-324.7582949738355","-324.7582949738355"
"3337","-320.9999672084881","-320.9999672084881","-320.9999672084881"
"3473","-312.31832353935897","-312.31832353935897","-312.31832353935897"
"3577","-315.9866266555242","-315.9866266555242","-315.9866266555242"
"3714","-346.3394845438794","-346.3394845438794","-346.3394845438794"
"3840","-324.6036347185835","-324.6036347185835","-324.6036347185835"
"3981","-327.3835126102755","-327.3835126102755","-327.3835126102755"
"4039","-325.2603831386622","-325.2603831386622","-325.2603831386622"
"4184","-315.2027028495798","-315.2027028495798","-315.2027028495798"
"4243","-311.66806810921554","-311.66806810921554","-311.66806810921554"
"4417","-324.82040042812577","-324.82040042812577","-324.82040042812577"
"4574","-334.2312290569368","-334.2312290569368","-334.2312290569368"
"4682","-324.69074655183397","-324.69074655183397","-324.69074655183397"
"4812","-325.99561991202285","-325.99561991202285","-325.99561991202285"
"4915","-302.87678164081836","-302.87678164081836","-302.87678164081836"
"5040","-329.7237202073751","-329.7237202073751","-329.7237202073751"
"5142","-316.6648638013071","-316.6648638013071","-316.6648638013071"
"5215","-319.67501518565894","-319.67501518565894","-319.67501518565894"
"5349","-322.3583477055689","-322.3583477055689","-322.3583477055689"
"5449","-325.9264366570656","-325.9264366570656","-325.9264366570656"
"5600","-329.42446550777754","-329.42446550777754","-329.42446550777754"
"5705","-318.13542491971987","-318.13542491971987","-318.13542491971987"
"5761","-320.96129159747125","-320.96129159747125","-320.96129159747125"
"5848","-325.5024535310056","-325.5024535310056","-325.5024535310056"
"5911","-325.88643942644467","-325.88643942644467","-325.88643942644467"
"6010","-314.506460919598","-314.506460919598","-314.506460919598"
"6070","-324.04420506077736","-324.04420506077736","-324.04420506077736"
"6159","-310.66148922439254","-310.66148922439254","-310.66148922439254"
"6245","-311.23289349258926","-311.23289349258926","-311.23289349258926"
"6428","-318.9473120684244","-318.9473120684244","-318.9473120684244"
"6536","-319.03614667482344","-319.03614667482344","-319.03614667482344"
"6631","-307.86281611460606","-307.86281611460606","-307.86281611460606"
"6828","-323.4409064375616","-323.4409064375616","-323.4409064375616"
"6893","-328.3235155786938","-328.3235155786938","-328.3235155786938"
"7061","-320.9905874456471","-320.9905874456471","-320.9905874456471"
"7118","-321.5536371165884","-321.5536371165884","-321.5536371165884"
"7213","-328.8510900748589","-328.8510900748589","-328.8510900748589"
"7351","-311.26760280555897","-311.26760280555897","-311.26760280555897"
"7513","-328.3756129015276","-328.3756129015276","-328.3756129015276"
"7704","-327.6038727844233","-327.6038727844233","-327.6038727844233"
"7813","-324.25037781383696","-324.25037781383696","-324.25037781383696"
"7877","-322.14722227276434","-322.14722227276434","-322.14722227276434"
"8013","-325.00470559982676","-325.00470559982676","-325.00470559982676"
"8110","-314.2286775097916","-314.2286775097916","-314.2286775097916"
"8224","-319.2092018623173","-319.2092018623173","-319.2092018623173"
"8331","-336.85444231169333","-336.85444231169333","-336.85444231169333"
"8435","-320.71755080688473","-320.71755080688473","-320.71755080688473"
"8561","-322.7208501806846","-322.7208501806846","-322.7208501806846"
"8627","-314.8540929160863","-314.8540929160863","-314.8540929160863"
"8761","-307.76564037040976","-307.76564037040976","-307.76564037040976"
"8818","-321.7020258509277","-321.7020258509277","-321.7020258509277"
"8876","-324.66527276649197","-324.66527276649197","-324.66527276649197"
"8966","-303.9989381552414","-303.9989381552414","-303.9989381552414"
"9069","-332.95721961487527","-332.95721961487527","-332.95721961487527"
"9134","-312.703341309407","-312.703341309407","-312.703341309407"