"Step","independent_gating/Pr=0.8/beta=10.0 - Num episodes with constraint violations","independent_gating/Pr=0.8/beta=10.0 - Num episodes with constraint violations__MIN","independent_gating/Pr=0.8/beta=10.0 - Num episodes with constraint violations__MAX"
"359","0","0","0"
"575","0","0","0"
"835","1","1","1"
"971","1","1","1"
"1080","2","2","2"
"1136","3","3","3"
"1273","3","3","3"
"1334","4","4","4"
"1400","5","5","5"
"1458","5","5","5"
"1596","6","6","6"
"1713","7","7","7"
"1776","8","8","8"
"1835","9","9","9"
"2007","10","10","10"
"2097","10","10","10"
"2201","10","10","10"
"2261","11","11","11"
"2372","12","12","12"
"2436","13","13","13"
"2510","13","13","13"
"2658","13","13","13"
"2831","14","14","14"
"2921","15","15","15"
"3089","16","16","16"
"3198","16","16","16"
"3339","17","17","17"
"3475","18","18","18"
"3579","19","19","19"
"3716","20","20","20"
"3842","21","21","21"
"3983","21","21","21"
"4041","21","21","21"
"4186","22","22","22"
"4245","23","23","23"
"4419","24","24","24"
"4576","25","25","25"
"4684","26","26","26"
"4814","26","26","26"
"4917","27","27","27"
"5042","27","27","27"
"5144","28","28","28"
"5217","29","29","29"
"5351","30","30","30"
"5451","31","31","31"
"5602","32","32","32"
"5707","33","33","33"
"5763","34","34","34"
"5850","34","34","34"
"5913","34","34","34"
"6012","35","35","35"
"6072","35","35","35"
"6161","36","36","36"
"6247","37","37","37"
"6430","38","38","38"
"6538","39","39","39"
"6633","40","40","40"
"6830","40","40","40"
"6895","41","41","41"
"7063","41","41","41"
"7120","42","42","42"
"7215","43","43","43"
"7353","44","44","44"
"7515","44","44","44"
"7706","44","44","44"
"7815","44","44","44"
"7879","44","44","44"
"8015","44","44","44"
"8112","45","45","45"
"8226","45","45","45"
"8333","46","46","46"
"8437","47","47","47"
"8563","47","47","47"
"8629","48","48","48"
"8763","49","49","49"
"8820","49","49","49"
"8878","49","49","49"
"8968","50","50","50"
"9071","51","51","51"
"9136","52","52","52"